Designator,Mid X,Mid Y,Layer,Rotation
C1,97.7900mm,-109.8550mm,Top,270
C2,97.7900mm,-115.2500mm,Top,90
C3,85.0900mm,-43.3070mm,Top,180
C4,168.2750mm,-106.6800mm,Top,180
C5,182.8800mm,-106.6800mm,Top,180
C6,186.6290mm,-46.1010mm,Top,0
C7,153.9900mm,-106.6800mm,Top,180
C8,84.5690mm,-33.9090mm,Top,0
C9,58.6740mm,-83.1850mm,Top,90
C10,63.2460mm,-83.1850mm,Top,270
C11,72.1360mm,-83.1850mm,Top,270
C12,67.5640mm,-83.1850mm,Top,270
C13,58.6740mm,-67.3100mm,Top,270
C14,63.2460mm,-67.3100mm,Top,90
C15,72.1360mm,-67.3100mm,Top,90
C16,67.5640mm,-67.3100mm,Top,90
C17,65.4050mm,-81.1660mm,Top,270
D1,91.8850mm,-117.2210mm,Top,180
D2,120.2050mm,-115.0620mm,Top,180
D3,81.1530mm,-116.2050mm,Top,180
D4,81.1530mm,-110.4900mm,Top,180
J2_J4,92.7100mm,-54.5950mm,Top,0
J3_J1,92.7100mm,-97.7750mm,Top,0
J11,196.2150mm,-43.1800mm,Top,90
J12,196.2150mm,-94.6150mm,Top,90
J13,196.1607mm,-112.2900mm,Top,90
R1,88.3290mm,-117.2210mm,Top,0
R2,116.2690mm,-115.0620mm,Top,0
R4,74.8670mm,-43.0530mm,Top,0
R5,56.3880mm,-83.1850mm,Top,270
R6,60.9600mm,-83.1850mm,Top,90
R7,74.4220mm,-83.1850mm,Top,270
R8,69.8500mm,-83.1850mm,Top,90
R9,56.3880mm,-67.3100mm,Top,90
R10,60.9600mm,-67.3100mm,Top,270
R11,74.4220mm,-67.3100mm,Top,90
R12,69.8500mm,-67.3100mm,Top,270
U2,107.1630mm,-113.0440mm,Top,0
U6,84.3720mm,-37.7190mm,Top,180
U7,65.2780mm,-75.1020mm,Top,90
